Depth,YearBP,uncertainty,
58.506,132,1,
58.761,133,1,
59.015,134,1,
59.346,135,1,
59.566,136,1,
59.793,137,1,
60.070,138,1,
60.339,139,1,
60.590,140,1,
60.828,141,1,
61.061,142,1,
61.315,143,1,
61.536,144,1,
61.766,145,1,
62.008,146,1,
62.233,147,1,
62.506,148,1,
62.750,149,1,
62.995,150,1,
63.204,151,1,
63.388,152,1,
63.625,153,1,
63.870,154,1,
64.201,155,1,
64.384,156,1,
64.617,157,1,
64.888,158,1,
65.204,159,1,
65.488,160,1,
65.747,161,1,
65.954,162,1,
66.195,163,1,
66.523,164,1,
66.764,165,1,
67.046,166,1,
67.345,167,1,
67.599,168,1,
67.821,169,1,
68.078,170,1,
68.261,171,1,
68.497,172,1,
68.705,173,1,
68.964,174,1,
69.254,175,1,
69.568,176,1,
69.864,177,1,
70.043,178,1,
70.290,179,1,
70.528,180,1,
70.819,181,1,
71.033,182,1,
71.235,183,1,
71.509,184,1,
71.786,185,1,
72.001,186,1,
72.278,187,1,
72.530,188,1,
72.810,189,1,
73.079,190,1,
73.300,191,1,
73.521,192,1,
73.708,193,1,
73.942,194,1,
74.140,195,1,
74.330,196,1,
74.584,197,1,
74.838,198,1,
75.092,199,1,
75.349,200,1,
75.599,201,1,
75.807,202,1,
76.003,203,1,
76.212,204,1,
76.445,205,1,
76.640,206,1,
76.822,207,1,
77.041,208,1,
77.266,209,1,
77.481,210,1,
77.683,211,1,
77.951,212,1,
78.195,213,1,
78.457,214,1,
78.748,215,1,
78.982,216,1,
79.183,217,1,
79.403,218,1,
79.714,219,1,
79.911,220,1,
80.158,221,1,
80.484,222,1,
80.698,223,1,
80.940,224,1,
81.114,225,1,
81.363,226,1,
81.542,227,1,
81.818,228,1,
82.072,229,1,
82.271,230,1,
82.494,231,1,
82.785,232,1,
83.007,233,1,
83.199,234,1,
83.447,235,1,
83.626,236,1,
83.845,237,1,
84.142,238,1,
84.356,239,1,
84.597,240,1,
84.855,241,1,
85.033,242,1,
85.333,243,1,
85.494,244,1,
85.688,245,1,
85.958,246,1,
86.215,247,1,
86.484,248,1,
86.725,249,1,
86.904,250,1,
87.107,251,1,
87.335,252,1,
87.554,253,1,
87.790,254,1,
88.021,255,1,
88.334,256,1,
88.565,257,1,
88.763,258,1,
89.019,259,1,
89.250,260,1,
89.493,261,1,
89.679,262,1,
89.900,263,1,
90.094,264,1,
90.337,265,1,
90.600,266,1,
90.822,267,1,
91.030,268,1,
91.248,269,1,
91.386,270,1,
91.623,271,1,
91.817,272,1,
92.075,273,1,
92.302,274,1,
92.516,275,1,
92.745,276,1,
92.954,277,1,
93.212,278,1,
93.364,279,1,
93.613,280,1,
93.846,281,1,
94.103,282,1,
94.312,283,1,
94.558,284,1,
94.768,285,1,
95.058,286,1,
95.245,287,1,
95.484,288,1,
95.745,289,1,
96.100,290,1,
96.346,291,1,
96.530,292,1,
96.808,293,1,
97.058,294,1,
97.235,295,1,
97.493,296,1,
97.844,297,1,
98.110,298,1,
98.322,299,1,
98.588,300,1,
98.812,301,1,
99.154,302,1,
99.421,303,1,
99.684,304,1,
99.931,305,1,
100.159,306,1,
100.360,307,1,
100.558,308,1,
100.770,309,1,
101.009,310,1,
101.265,311,1,
101.468,312,1,
101.672,313,1,
101.951,314,1,
102.253,315,1,
102.465,316,1,
102.714,317,1,
103.030,318,1,
103.227,319,1,
103.437,320,1,
103.605,321,1,
103.863,322,1,
104.120,323,1,
104.333,324,1,
104.594,325,1,
104.833,326,1,
105.018,327,1,
105.273,328,1,
105.550,329,1,
105.831,330,1,
106.067,331,1,
106.298,332,1,
106.491,333,1,
106.745,334,1,
106.973,335,1,
107.253,336,1,
107.458,337,1,
107.722,338,1,
107.938,339,1,
108.177,340,1,
108.485,341,1,
108.683,342,1,
108.865,343,1,
109.041,344,1,
109.331,345,1,
109.599,346,1,
109.827,347,1,
110.031,348,1,
110.235,349,1,
110.438,350,1,
110.679,351,1,
110.893,352,1,
111.096,353,1,
111.387,354,1,
111.665,355,1,
111.961,356,1,
112.140,357,1,
112.418,358,1,
112.742,359,1,
112.991,360,1,
113.224,361,1,
113.440,362,1,
113.709,363,1,
113.935,364,1,
114.235,365,1,
114.528,366,1,
114.769,367,1,
114.921,368,1,
115.119,369,1,
115.330,370,1,
115.537,371,1,
115.785,372,1,
116.011,373,1,
116.181,374,1,
116.372,375,1,
116.601,376,1,
116.904,377,1,
117.187,378,1,
117.361,379,1,
117.579,380,1,
117.815,381,1,
118.110,382,1,
118.284,383,1,
118.508,384,1,
118.848,385,1,
119.033,386,1,
119.168,387,1,
119.409,388,1,
119.693,389,1,
119.913,390,1,
120.155,391,1,
120.381,392,1,
120.672,393,1,
120.899,394,1,
121.083,395,1,
121.338,396,1,
121.587,397,1,
121.849,398,1,
122.068,399,1,
122.359,400,1,
122.586,401,2,
122.848,402,2,
123.095,403,2,
123.280,404,2,
123.500,405,2,
123.725,406,2,
123.987,407,2,
124.219,408,2,
124.427,409,2,
124.632,410,2,
124.875,411,2,
125.106,412,2,
125.353,413,2,
125.646,414,2,
125.947,415,2,
126.140,416,2,
126.368,417,2,
126.584,418,2,
126.815,419,2,
127.018,420,2,
127.276,421,2,
127.469,422,2,
127.692,423,2,
127.962,424,2,
128.159,425,2,
128.348,426,2,
128.618,427,2,
128.830,428,2,
129.050,429,2,
129.295,430,2,
129.507,431,2,
129.812,432,2,
130.013,433,2,
130.201,434,2,
130.440,435,2,
130.695,436,2,
130.897,437,2,
131.090,438,2,
131.325,439,2,
131.563,440,2,
131.787,441,2,
132.003,442,2,
132.243,443,2,
132.417,444,2,
132.571,445,2,
132.729,446,2,
133.014,447,2,
133.258,448,2,
133.432,449,2,
133.640,450,2,
133.898,451,2,
134.087,452,2,
134.341,453,2,
134.588,454,2,
134.780,455,2,
135.027,456,2,
135.269,457,2,
135.489,458,2,
135.763,459,2,
135.975,460,2,
136.252,461,2,
136.557,462,2,
136.793,463,2,
137.144,464,2,
137.398,465,2,
137.606,466,2,
137.803,467,2,
138.119,468,2,
138.383,469,2,
138.611,470,2,
138.846,471,2,
139.046,472,2,
139.227,473,2,
139.439,474,2,
139.577,475,2,
139.739,476,2,
139.962,477,2,
140.151,478,2,
140.351,479,2,
140.567,480,2,
140.834,481,2,
141.026,482,2,
141.319,483,2,
141.488,484,2,
141.780,485,2,
142.003,486,2,
142.220,487,2,
142.469,488,2,
142.720,489,2,
142.902,490,2,
143.125,491,2,
143.322,492,2,
143.477,493,2,
143.778,494,2,
144.021,495,2,
144.170,496,2,
144.412,497,2,
144.598,498,2,
144.860,499,2,
145.045,500,2,
145.318,501,2,
145.476,502,2,
145.761,503,2,
145.916,504,2,
146.081,505,2,
146.339,506,2,
146.567,507,2,
146.878,508,2,
147.167,509,2,
147.319,510,2,
147.497,511,2,
147.743,512,2,
147.920,513,2,
148.206,514,2,
148.409,515,2,
148.690,516,2,
148.906,517,2,
149.057,518,2,
149.284,519,2,
149.488,520,2,
149.746,521,2,
150.009,522,2,
150.197,523,2,
150.409,524,2,
150.706,525,2,
150.968,526,2,
151.138,527,2,
151.415,528,2,
151.581,529,2,
151.827,530,2,
152.047,531,2,
152.275,532,2,
152.617,533,2,
152.779,534,2,
153.065,535,2,
153.228,536,2,
153.462,537,2,
153.732,538,2,
153.932,539,2,
154.167,540,2,
154.429,541,2,
154.672,542,2,
154.938,543,2,
155.208,544,2,
155.464,545,2,
155.760,546,2,
156.069,547,2,
156.373,548,2,
156.597,549,2,
156.747,550,2,
156.951,551,2,
157.195,552,2,
157.487,553,2,
157.692,554,2,
157.915,555,2,
158.119,556,2,
158.373,557,2,
158.677,558,2,
158.890,559,2,
159.120,560,2,
159.402,561,2,
159.603,562,2,
159.857,563,2,
160.058,564,2,
160.188,565,2,
160.393,566,2,
160.616,567,2,
160.778,568,2,
161.013,569,2,
161.279,570,2,
161.433,571,2,
161.669,572,2,
161.925,573,2,
162.067,574,2,
162.360,575,2,
162.568,576,2,
162.796,577,2,
163.056,578,2,
163.368,579,2,
163.568,580,2,
163.814,581,2,
164.107,582,2,
164.315,583,2,
164.619,584,2,
164.778,585,2,
165.024,586,2,
165.221,587,2,
165.400,588,2,
165.595,589,2,
165.857,590,2,
166.107,591,2,
166.254,592,2,
166.504,593,2,
166.712,594,2,
166.909,595,2,
167.063,596,2,
167.333,597,2,
167.560,598,2,
167.826,599,2,
168.023,600,2,
168.347,601,2,
168.666,602,2,
168.809,603,2,
168.994,604,2,
169.209,605,2,
169.429,606,2,
169.664,607,2,
169.861,608,2,
170.150,609,2,
170.296,610,2,
170.519,611,2,
170.811,612,2,
170.962,613,2,
171.177,614,2,
171.428,615,2,
171.678,616,2,
171.909,617,2,
172.140,618,2,
172.349,619,2,
172.591,620,2,
172.823,621,2,
173.011,622,2,
173.281,623,2,
173.477,624,2,
173.670,625,2,
173.851,626,2,
174.090,627,2,
174.305,628,2,
174.464,629,2,
174.733,630,2,
174.956,631,2,
175.153,632,2,
175.431,633,2,
175.716,634,2,
175.938,635,2,
176.180,636,2,
176.404,637,2,
176.570,638,2,
176.816,639,2,
177.148,640,2,
177.378,641,2,
177.530,642,2,
177.822,643,2,
178.069,644,2,
178.304,645,2,
178.570,646,2,
178.784,647,2,
179.016,648,2,
179.309,649,2,
179.524,650,2,
179.755,651,2,
180.010,652,2,
180.225,653,2,
180.433,654,2,
180.661,655,2,
180.898,656,2,
181.076,657,2,
181.295,658,2,
181.507,659,2,
181.699,660,2,
181.993,661,2,
182.223,662,2,
182.469,663,2,
182.664,664,2,
182.854,665,2,
183.046,666,2,
183.266,667,2,
183.589,668,2,
183.836,669,2,
184.052,670,2,
184.259,671,2,
184.449,672,2,
184.638,673,2,
184.811,674,2,
185.038,675,2,
185.234,676,2,
185.460,677,2,
185.744,678,2,
185.930,679,2,
186.127,680,2,
186.368,681,2,
186.685,682,2,
186.893,683,2,
187.134,684,2,
187.320,685,2,
187.528,686,2,
187.779,687,2,
187.987,688,2,
188.173,689,2,
188.381,690,2,
188.665,691,1,
188.917,692,1,
189.114,693,1,
189.377,694,2,
189.672,695,2,
189.902,696,2,
190.109,697,2,
190.285,698,2,
190.525,699,2,
190.755,700,2,
190.963,701,2,
191.149,702,2,
191.379,703,2,
191.674,704,2,
191.980,705,2,
192.254,706,2,
192.527,707,2,
192.757,708,2,
192.998,709,2,
193.217,710,2,
193.414,711,2,
193.654,712,2,
193.873,713,2,
194.114,714,2,
194.322,715,2,
194.595,716,2,
194.847,717,2,
195.011,718,2,
195.274,719,2,
195.471,720,2,
195.799,721,2,
196.018,722,2,
196.193,723,2,
196.390,724,2,
196.619,725,2,
196.860,726,2,
197.024,727,2,
197.309,728,2,
197.506,729,2,
197.801,730,2,
198.064,731,2,
198.239,732,2,
198.457,733,2,
198.775,734,2,
198.972,735,2,
199.169,736,2,
199.355,737,2,
199.584,738,2,
199.913,739,2,
200.186,740,2,
200.394,741,2,
200.678,742,2,
200.919,743,2,
201.269,744,2,
201.510,745,2,
201.762,746,2,
201.959,747,2,
202.167,748,2,
202.407,749,2,
202.692,750,2,
202.856,751,2,
202.998,752,2,
203.282,753,2,
203.468,754,2,
203.764,755,2,
203.994,756,2,
204.212,757,2,
204.453,758,2,
204.748,759,2,
204.945,760,2,
205.153,761,2,
205.438,762,2,
205.722,763,2,
205.941,764,2,
206.138,765,2,
206.280,766,2,
206.554,767,2,
206.805,768,2,
207.013,769,2,
207.254,770,2,
207.473,771,2,
207.757,772,2,
207.976,773,2,
208.184,774,2,
208.359,775,2,
208.589,776,2,
208.808,777,2,
208.961,778,2,
209.147,779,2,
209.398,780,2,
209.650,781,2,
209.880,782,2,
210.099,783,2,
210.350,784,2,
210.547,785,2,
210.700,786,2,
211.029,787,2,
211.237,788,2,
211.455,789,2,
211.707,790,2,
211.871,791,2,
212.156,792,2,
212.374,793,2,
212.615,794,2,
212.878,795,2,
213.042,796,2,
213.337,797,2,
213.567,798,2,
213.808,799,2,
214.114,800,2,
214.300,801,2,
214.530,802,2,
214.759,803,2,
214.978,804,2,
215.317,805,2,
215.536,806,2,
215.843,807,2,
216.018,808,2,
216.226,809,2,
216.521,810,2,
216.740,811,2,
216.915,812,2,
217.156,813,2,
217.407,814,2,
217.582,815,2,
217.878,816,2,
218.086,817,2,
218.315,818,2,
218.611,819,2,
218.873,820,2,
219.158,821,2,
219.420,822,2,
219.639,823,2,
219.913,824,2,
220.142,825,2,
220.339,826,2,
220.536,827,2,
220.744,828,2,
221.007,829,2,
221.171,830,2,
221.444,831,2,
221.740,832,2,
222.002,833,2,
222.232,834,2,
222.484,835,2,
222.713,836,2,
222.888,837,2,
223.042,838,2,
223.228,839,2,
223.479,840,2,
223.654,841,2,
223.917,842,2,
224.147,843,2,
224.355,844,2,
224.584,845,2,
224.847,846,2,
225.055,847,2,
225.274,848,2,
225.449,849,2,
225.700,850,2,
225.908,851,2,
226.193,852,2,
226.444,853,2,
226.718,854,2,
226.937,855,2,
227.145,856,2,
227.330,857,2,
227.538,858,2,
227.703,859,2,
227.878,860,2,
228.086,861,2,
228.326,862,2,
228.523,863,2,
228.786,864,2,
229.048,865,2,
229.322,866,2,
229.584,867,2,
229.759,868,2,
229.946,869,2,
230.142,870,2,
230.438,871,2,
230.646,872,2,
230.832,873,2,
231.094,874,2,
231.444,875,2,
231.652,876,2,
231.827,877,2,
232.145,878,2,
232.342,879,2,
232.626,880,2,
232.878,881,2,
233.118,882,2,
233.304,883,2,
233.512,884,2,
233.753,885,2,
233.939,886,2,
234.201,887,2,
234.475,888,2,
234.803,889,2,
235.044,890,2,
235.274,891,2,
235.525,892,2,
235.744,893,2,
236.028,894,2,
236.248,895,2,
236.565,896,2,
236.773,897,2,
237.057,898,2,
237.276,899,2,
237.582,900,2,
237.801,901,2,
238.042,902,2,
238.239,903,2,
238.425,904,2,
238.665,905,2,
238.928,906,2,
239.256,907,2,
239.573,908,2,
239.847,909,2,
240.077,910,2,
240.285,911,2,
240.514,912,2,
240.821,913,2,
241.094,914,2,
241.291,915,2,
241.521,916,2,
241.740,917,2,
241.991,918,2,
242.199,919,2,
242.429,920,2,
242.703,921,2,
242.943,922,2,
243.162,923,2,
243.392,924,2,
243.654,925,2,
243.862,926,2,
244.081,927,2,
244.355,928,2,
244.584,929,2,
244.770,930,2,
244.956,931,2,
245.153,932,2,
245.460,933,2,
245.668,934,2,
245.930,935,2,
246.105,936,2,
246.313,937,2,
246.619,938,2,
246.849,939,2,
247.167,940,2,
247.495,941,2,
247.790,942,2,
248.075,943,2,
248.271,944,2,
248.479,945,2,
248.742,946,2,
249.070,947,2,
249.311,948,2,
249.519,949,2,
249.748,950,2,
249.956,951,2,
250.175,952,2,
250.383,953,2,
250.624,954,2,
250.919,955,2,
251.171,956,2,
251.390,957,2,
251.587,958,2,
251.838,959,2,
252.079,960,2,
252.298,961,2,
252.528,962,2,
252.757,963,2,
252.998,964,2,
253.206,965,2,
253.447,966,2,
253.687,967,2,
253.906,968,2,
254.158,969,2,
254.398,970,2,
254.661,971,2,
254.935,972,2,
255.131,973,2,
255.328,974,2,
255.624,975,2,
255.843,976,2,
256.072,977,2,
256.346,978,2,
256.565,979,2,
256.827,980,2,
257.068,981,2,
257.320,982,2,
257.560,983,2,
257.801,984,2,
258.064,985,2,
258.326,986,2,
258.578,987,2,
258.840,988,2,
259.059,989,2,
259.245,990,2,
259.519,991,2,
259.759,992,2,
259.978,993,2,
260.186,994,2,
260.438,995,2,
260.646,996,2,
260.930,997,2,
261.149,998,2,
261.390,999,2,
261.663,1000,2,
261.937,1001,2,
262.156,1002,2,
262.407,1003,2,
262.681,1004,2,
262.954,1005,2,
263.151,1006,2,
263.359,1007,2,
263.654,1008,2,
263.928,1009,2,
264.103,1010,2,
264.398,1011,2,
264.650,1012,2,
265.033,1013,2,
265.317,1014,2,
265.558,1015,2,
265.744,1016,2,
266.039,1017,2,
266.247,1018,2,
266.543,1019,2,
266.827,1020,2,
267.090,1021,2,
267.352,1022,2,
267.593,1023,2,
267.779,1024,2,
268.020,1025,2,
268.217,1026,2,
268.468,1027,2,
268.720,1028,2,
268.983,1029,2,
269.256,1030,2,
269.486,1031,2,
269.759,1032,2,
270.022,1033,2,
270.252,1034,2,
270.416,1035,2,
270.700,1036,2,
270.941,1037,2,
271.127,1038,2,
271.379,1039,2,
271.598,1040,2,
271.904,1041,2,
272.112,1042,2,
272.287,1043,2,
272.484,1044,2,
272.670,1045,2,
272.910,1046,2,
273.096,1047,2,
273.260,1048,2,
273.556,1049,2,
273.851,1050,2,
274.103,1051,2,
274.300,1052,2,
274.628,1053,2,
274.924,1054,2,
275.131,1055,2,
275.350,1056,2,
275.657,1057,2,
275.843,1058,2,
276.094,1059,2,
276.357,1060,2,
276.641,1061,2,
276.893,1062,2,
277.156,1063,2,
277.341,1064,2,
277.549,1065,2,
277.878,1066,2,
278.162,1067,2,
278.436,1068,2,
278.687,1069,2,
278.928,1070,2,
279.191,1071,2,
279.431,1072,2,
279.639,1073,2,
279.935,1074,2,
280.153,1075,2,
280.372,1076,2,
280.635,1077,2,
280.875,1078,2,
281.061,1079,2,
281.335,1080,2,
281.630,1081,2,
281.860,1082,2,
282.002,1083,2,
282.243,1084,2,
282.440,1085,2,
282.703,1086,2,
282.987,1087,2,
283.206,1088,2,
283.545,1089,2,
283.862,1090,2,
284.092,1091,2,
284.267,1092,2,
284.442,1093,2,
284.683,1094,2,
284.847,1095,2,
285.077,1096,2,
285.307,1097,2,
285.503,1098,2,
285.744,1099,2,
286.018,1100,2,
286.280,1101,2,
286.466,1102,2,
286.707,1103,2,
286.926,1104,2,
287.079,1105,2,
287.363,1106,2,
287.604,1107,2,
287.834,1108,2,
288.053,1109,2,
288.348,1110,2,
288.676,1111,2,
288.895,1112,2,
289.114,1113,2,
289.289,1114,2,
289.453,1115,2,
289.705,1116,2,
289.935,1117,2,
290.164,1118,2,
290.416,1119,2,
290.613,1120,2,
290.952,1121,2,
291.138,1122,2,
291.357,1123,2,
291.630,1124,2,
291.849,1125,2,
292.013,1126,2,
292.254,1127,2,
292.538,1128,2,
292.746,1129,2,
292.954,1130,2,
293.217,1131,2,
293.479,1132,2,
293.720,1133,2,
293.906,1134,2,
294.103,1135,2,
294.377,1136,2,
294.628,1137,2,
294.814,1138,2,
295.022,1139,2,
295.208,1140,2,
295.493,1141,2,
295.755,1142,2,
295.941,1143,2,
296.138,1144,2,
296.335,1145,2,
296.630,1146,2,
296.860,1147,2,
297.090,1148,2,
297.320,1149,2,
297.549,1150,2,
297.845,1151,2,
298.075,1152,2,
298.381,1153,2,
298.589,1154,2,
298.764,1155,2,
299.059,1156,2,
299.278,1157,2,
299.508,1158,2,
299.727,1159,2,
299.946,1160,2,
300.142,1161,2,
300.383,1162,2,
300.580,1163,2,
300.854,1164,2,
301.061,1165,2,
301.302,1166,2,
301.597,1167,2,
301.838,1168,2,
302.035,1169,2,
302.221,1170,2,
302.473,1171,2,
302.735,1172,2,
302.954,1173,2,
303.151,1174,2,
303.457,1175,1,
303.676,1176,1,
303.884,1177,2,
304.103,1178,2,
304.398,1179,2,
304.661,1180,2,
304.935,1181,2,
305.153,1182,2,
305.394,1183,2,
305.646,1184,2,
305.875,1185,2,
306.083,1186,2,
306.346,1187,2,
306.598,1188,2,
306.827,1189,2,
307.002,1190,2,
307.221,1191,2,
307.440,1192,2,
307.692,1193,2,
307.998,1194,2,
308.337,1195,2,
308.556,1196,2,
308.797,1197,2,
309.037,1198,2,
309.333,1199,2,
309.552,1200,2,
309.792,1201,2,
310.033,1202,2,
310.241,1203,2,
310.503,1204,2,
310.711,1205,2,
310.985,1206,2,
311.215,1207,2,
311.390,1208,2,
311.554,1209,2,
311.816,1210,2,
312.112,1211,2,
312.407,1212,2,
312.681,1213,2,
312.878,1214,2,
313.096,1215,2,
313.348,1216,2,
313.709,1217,2,
313.950,1218,2,
314.179,1219,2,
314.420,1220,2,
314.617,1221,2,
314.869,1222,2,
315.099,1223,2,
315.361,1224,2,
315.569,1225,2,
315.854,1226,2,
316.083,1227,2,
316.324,1228,2,
316.598,1229,2,
316.860,1230,2,
317.101,1231,2,
317.352,1232,2,
317.626,1233,2,
317.878,1234,2,
318.107,1235,2,
318.304,1236,2,
318.611,1237,2,
318.895,1238,2,
319.136,1239,2,
319.333,1240,2,
319.530,1241,2,
319.770,1242,2,
320.011,1243,2,
320.241,1244,2,
320.460,1245,2,
320.722,1246,2,
321.018,1247,2,
321.269,1248,2,
321.576,1249,2,
321.915,1250,2,
322.156,1251,2,
322.341,1252,2,
322.582,1253,2,
322.856,1254,2,
323.064,1255,2,
323.260,1256,2,
323.479,1257,2,
323.764,1258,2,
324.016,1259,2,
324.201,1260,2,
324.376,1261,2,
324.584,1262,2,
324.858,1263,2,
325.066,1264,2,
325.328,1265,2,
325.624,1266,2,
325.854,1267,2,
326.138,1268,2,
326.390,1269,2,
326.598,1270,2,
326.773,1271,2,
327.090,1272,2,
327.287,1273,2,
327.560,1274,2,
327.899,1275,2,
328.140,1276,2,
328.392,1277,2,
328.611,1278,2,
328.862,1279,2,
329.081,1280,2,
329.333,1281,2,
329.552,1282,2,
329.792,1283,2,
330.055,1284,2,
330.296,1285,2,
330.514,1286,2,
330.766,1287,2,
331.018,1288,2,
331.204,1289,2,
331.455,1290,2,
331.685,1291,2,
331.882,1292,2,
332.090,1293,2,
332.309,1294,2,
332.528,1295,2,
332.823,1296,2,
333.053,1297,2,
333.348,1298,2,
333.611,1299,2,
333.862,1300,2,
334.125,1301,2,
334.409,1302,2,
334.672,1303,2,
334.880,1304,2,
335.088,1305,2,
335.307,1306,2,
335.536,1307,2,
335.843,1308,2,
336.072,1309,2,
336.280,1310,2,
336.532,1311,2,
336.751,1312,2,
337.057,1313,2,
337.287,1314,2,
337.506,1315,2,
337.757,1316,2,
337.998,1317,2,
338.228,1318,2,
338.457,1319,2,
338.742,1320,2,
338.928,1321,2,
339.179,1322,2,
339.464,1323,2,
339.694,1324,2,
339.956,1325,2,
340.164,1326,2,
340.339,1327,2,
340.591,1328,2,
340.810,1329,2,
341.083,1330,2,
341.269,1331,2,
341.477,1332,2,
341.773,1333,2,
342.046,1334,2,
342.287,1335,2,
342.484,1336,2,
342.703,1337,2,
342.976,1338,2,
343.228,1339,2,
343.425,1340,2,
343.720,1341,2,
343.939,1342,2,
344.201,1343,2,
344.453,1344,2,
344.759,1345,2,
344.989,1346,2,
345.230,1347,2,
345.394,1348,2,
345.624,1349,2,
345.930,1350,2,
346.116,1351,2,
346.401,1352,2,
346.674,1353,2,
346.882,1354,2,
347.090,1355,2,
347.363,1356,2,
347.593,1357,2,
347.845,1358,2,
348.075,1359,2,
348.293,1360,2,
348.622,1361,2,
348.829,1362,2,
349.048,1363,2,
349.223,1364,2,
349.464,1365,2,
349.705,1366,2,
349.902,1367,2,
350.164,1368,2,
350.372,1369,2,
350.624,1370,2,
350.821,1371,2,
351.050,1372,2,
351.258,1373,2,
351.444,1374,2,
351.707,1375,2,
352.002,1376,2,
352.265,1377,2,
352.462,1378,2,
352.637,1379,2,
352.845,1380,2,
352.998,1381,2,
353.217,1382,2,
353.447,1383,2,
353.654,1384,2,
353.906,1385,2,
354.114,1386,2,
354.333,1387,2,
354.606,1388,2,
354.924,1389,2,
355.186,1390,2,
355.460,1391,2,
355.733,1392,2,
355.996,1393,2,
356.226,1394,2,
356.422,1395,2,
356.718,1396,2,
356.937,1397,2,
357.177,1398,2,
357.352,1399,2,
357.593,1400,2,
357.889,1401,2,
358.064,1402,2,
358.370,1403,2,
358.709,1404,2,
358.895,1405,2,
359.201,1406,2,
359.497,1407,2,
359.672,1408,2,
359.945,1409,2,
360.175,1410,2,
360.471,1411,2,
360.646,1412,2,
360.930,1413,2,
361.105,1414,2,
361.390,1415,2,
361.576,1416,2,
361.904,1417,2,
362.134,1418,2,
362.374,1419,2,
362.659,1420,2,
362.867,1421,2,
363.075,1422,2,
363.414,1423,2,
363.611,1424,2,
363.797,1425,2,
364.059,1426,2,
364.289,1427,2,
364.530,1428,2,
364.825,1429,2,
365.022,1430,2,
365.339,1431,2,
365.536,1432,2,
365.810,1433,2,
366.105,1434,2,
366.335,1435,2,
366.565,1436,2,
366.816,1437,2,
367.013,1438,2,
367.254,1439,2,
367.451,1440,2,
367.703,1441,2,
367.899,1442,2,
368.118,1443,2,
368.293,1444,2,
368.600,1445,2,
368.775,1446,2,
369.070,1447,2,
369.333,1448,2,
369.519,1449,2,
369.792,1450,2,
370.066,1451,2,
370.274,1452,2,
370.536,1453,2,
370.744,1454,2,
370.985,1455,2,
371.237,1456,2,
371.488,1457,2,
371.685,1458,2,
